wbs_code;activity;optimistic_duration;likely_duration;pessimistic_duration;people_required;monetary_cost_per_day;level_of_revealingness;chance_of_delays;weight_of_delays;chance_of_losing_people;weight_of_losing_people;predecessor
A;Choose_a_fake_business_identity;1;2;4;2;200;1;1;2;5;1;/
B;Set_up_offshore_accounts;3;5;8;2;300;1;2;3;1;2;A
C;Recruit_insiders_at_ports_(Santos_and_Antwerp);2;4;7;4;400;5;3;4;5;25;B
D;Rent_warehouse_and_vehicles;2;3;4;3;250;2;2;3;1;2;B
E;Forge_transport_documents;2;3;5;2;200;1;1;2;5;1;B
F;Identify_potential_producers;2;4;7;3;300;5;2;3;1;2;/
G;Evaluate_quality_and_reliability;2;3;5;3;250;4;2;3;1;2;F
H;Negotiate_and_close_deal;1;2;4;1;150;3;1;2;5;1;G
I;Transfer_funds_securely;1;2;3;1;100;2;1;1;5;5;B,H
J;Acquire_freight_container_and_legit_cargo;2;4;8;2;300;1;2;3;1;2;D
K;Hide_drugs_in_container;1;2;4;3;250;4;2;3;1;2;E,I,J
L;Transport_container_with_truck_to_port_S-Am;1;2;3;2;200;3;1;2;5;1;K,M
M;Set_up_GPS/satellite_tracking;2;3;5;1;150;1;1;2;5;1;J
N;Sea_transport+tracking;10;14;21;3;500;3;3;4;5;25;C,L
O;Break_open_container_and_remove_drugs;1;2;3;3;250;6;2;3;1;2;N
P;Map_route_with_minimal_ANPR_coverage;2;3;5;1;150;1;1;2;5;1;/
Q;Transport_and_delivery_to_client_(Garage_club);1;2;3;2;200;5;1;2;5;1;O,P
R;Disband_fake_company_+_cut_off_loose_ends;1;2;4;4;400;3;3;4;5;25;Q
S;Money_laundering;3;5;8;2;300;3;2;3;1;2;Q
